Restaurant ID,Restaurant Name,City,Address,Longitude,Latitude,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes
17580160,New Yorker Deli & Pizzeria,Pensacola,"3001 E Cervantes St, Pensacola, FL 32503",-87.1819,30.4251,"Italian, Pizza, Sandwich",10,1,4.6,Dark Green,Excellent,792
17580349,Tu-Do Vietnamese Restaurant,Pensacola,"7130 N Davis Hwy, Pensacola, FL 32504",-87.2216,30.4982,"Asian, Vietnamese",10,1,4.5,Dark Green,Excellent,828
17580412,Carrabba's Italian Grill,Pensacola,"311 N 9th Avenue, Pensacola, FL 32502",-87.205855,30.417318,"Italian, Pizza, Seafood",40,3,3.7,Yellow,Good,292
17580590,Jaco's Bayfront Bar and Grille,Pensacola,"997 South Palafox, Pensacola, FL 32502",-87.213274,30.403034,Tapas,25,2,3.9,Yellow,Good,502
17580704,The Tin Cow,Pensacola,"102 S Palafox Pl, Pensacola, FL",-87.2150874,30.4116106,"Burger, Bar Food",25,2,3.7,Yellow,Good,559
17579928,Cactus Flower Cafe,Pensacola,"3425 N 12th Ave, Pensacola, FL 32503",-87.2080932,30.4473322,"Latin American, Mexican, Southwestern",25,2,4.2,Green,Very Good,1268
17579992,Dharma Blue,Pensacola,"300 S Alcaniz Street, Pensacola, FL 32502",-87.2092,30.4101,"Seafood, Sushi",40,3,4.1,Green,Very Good,669
17580030,Global Grill,Pensacola,"27 South Palafox Pl, Pensacola, FL 32501",-87.2153054,30.411878,"European, International, Tapas",40,3,4.4,Green,Very Good,900
17580074,Ichiban,Pensacola,"5555 N Davis Hwy Ste I, Pensacola, FL 32503",-87.2252,30.4767,"Japanese, Sushi",25,2,4.3,Green,Very Good,765
17580020,The Fish House,Pensacola,"600 S Barracks St, Pensacola, FL 32502",-87.211082,30.407358,"American, Seafood, Sushi",40,3,4,Green,Very Good,1270
17580350,Tuscan Oven,Pensacola,"4801 N 9th Ave, Pensacola, FL 32503",-87.214,30.4692,"Italian, Mediterranean, Pizza",25,2,4.1,Green,Very Good,502
17580408,Flounders Chowder House,Pensacola,"800 Quietwater Beach Rd, Pensacola Beach, FL 32561",-87.143,30.3359,Seafood,40,3,3.9,Yellow,Good,724
